<keywords>=桃 花 * 甘 露 * senLen = 5	1
 ||| 灼 灼 浓 于 酒 ||| -28.076224 -19.446143 ||| -21.083473 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 凌 空 沆 瀣 清 ||| -26.240444 -21.591560 ||| -22.000713 ||| PAZZP ||| PPZZP ||| 3
 ||| 笑 春 风 烂 熳 ||| -25.396257 -21.344547 ||| -22.457524 ||| ZPPZA ||| APPZZ ||| 2
 ||| 灼 灼 绮 罗 丛 ||| -24.847986 -22.936452 ||| -22.546461 ||| ZZZPP ||| AZZPP ||| 1
 ||| 第 一 花 无 主 ||| -24.811138 -22.567907 ||| -22.826706 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 笑 春 风 和 气 ||| -24.958467 -22.287281 ||| -22.996639 ||| ZPPAZ ||| APPZZ ||| 2
 ||| 第 一 花 微 雨 ||| -26.372012 -24.167612 ||| -23.933286 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 烂 熳 笑 春 风 ||| -23.660231 -26.784101 ||| -24.090747 ||| ZAZPP ||| AZZPP ||| 1
 ||| 烂 熳 绮 罗 丛 ||| -26.398652 -26.296196 ||| -24.339117 ||| ZAZPP ||| AZZPP ||| 1
 ||| 笑 春 风 五 色 ||| -24.165517 -25.875765 ||| -24.444736 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 滴 金 盘 五 色 ||| -31.668856 -24.275964 ||| -24.483973 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 笑 春 风 玉 佩 ||| -26.207124 -23.927716 ||| -24.497796 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 照 水 绮 罗 丛 ||| -28.914054 -23.778828 ||| -24.537814 ||| ZZZPP ||| AZZPP ||| 1
 ||| 灼 灼 笑 春 风 ||| -23.957400 -26.752132 ||| -24.637234 ||| ZZZPP ||| AZZPP ||| 1
 ||| 玉 佩 绮 罗 丛 ||| -27.196767 -26.756983 ||| -24.638911 ||| ZZZPP ||| AZZPP ||| 1
 ||| 第 一 花 溪 畔 ||| -27.003632 -25.705487 ||| -24.805743 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 灼 灼 艳 不 同 ||| -27.248218 -24.429841 ||| -25.030889 ||| ZZZAA ||| AZZPP ||| 1
 ||| 绮 罗 丛 烂 熳 ||| -34.813622 -23.664752 ||| -25.039441 ||| ZPPZA ||| APPZZ ||| 2
 ||| 玉 佩 滴 金 盘 ||| -25.363257 -28.895341 ||| -25.280234 ||| ZZZPP ||| AZZPP ||| 1
 ||| 笑 春 风 灼 灼 ||| -25.897317 -25.363684 ||| -25.368596 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 第 一 花 红 艳 ||| -26.714122 -25.061996 ||| -25.374458 ||| ZZPPZ ||| AZPPZ ||| 0
